id	NC1	NC10	NC100	NC101	NC102	NC11	NC12	NC13	NC14	NC16	NC17	NC18	NC19	NC2	NC20	NC21	NC22	NC23	NC24	NC25	NC26	NC27	NC28	NC29	NC3	NC30	NC31	NC32	NC33	NC34	NC35	NC36	NC37	NC38	NC39	NC4	NC40	NC41	NC42	NC43	NC44	NC45	NC46	NC47	NC48	NC49	NC5	NC50	NC51	NC52	NC53	NC54	NC55	NC56	NC57	NC58	NC59	NC6	NC60	NC61	NC62	NC63	NC64	NC65	NC66	NC67	NC68	NC69	NC7	NC70	NC71	NC72	NC73	NC74	NC75	NC76	NC77	NC78	NC79	NC8	NC80	NC81	NC82	NC83	NC84	NC85	NC86	NC87	NC88	NC89	NC9	NC90	NC91	NC92	NC93	NC94	NC95	NC96	NC97	NC98	NC99	NCFSBCneg	NCFSMFneg	NCSTBCneg	NCSTMFneg	St1	St100-St101	St102-St103	St104-St105	St106-St107	St11	St13	St15-St16	St17	St19	St21	St23-St24	St25-St26	St27-St28	St29-St30	St3-St4	St31-St32	St33-St34	St35-St36	St38	St39-St40	St41-St42	St43-St44	St45-St46	St47-St48	St49-St50	St5-St6	St51-St52	St53-St54	St55-St56	St57-St58	St59	St61-St62	St63-St64	St65-St66	St67-St68	St69-St70	St7-St8	St71-St108	St72-St73	St74-St75	St76-St77	St78-St79	St80-St81	St82-St83	St84-St85	St86-St87	St88-St89	St90-St91	St92-St93	St94-St95	St96-St97	St98-St99
MiFish_00011	0	0	1	1	0	0	18	0	0	0	0	1548	0	0	0	0	1	0	0	0	0	0	0	0	0	29	1	0	0	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	9	0	0	1	0	1	0	1	56	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	21	7	0	20	0	0	26	42	0	563	379	0	8	0	2	0	6	0	68	0	0	0	0	0	0	0	0	0	0	0	47	2	2	1	2	0	0	0	1	0	0	0	0	5	1	1	6	507	9	1798	1	0	1291	1	0	853	463	4	1	0	0	1	1	0	0	0	417	0	97	1	0	118	0	0	118	603	3	1	0	9	0
MiFish_00012	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MiFish_00013	0	46	1	0	0	170	83	70	7	124	1	86	0	6	21	33	0	0	12	6	1	56	18	0	11	0	0	0	8	8	109	1	0	0	1	1	16	0	0	11	17	0	0	0	1	0	1	0	2	0	2	0	3	27	0	1	0	4	4	0	1	2001	70	13	1	0	202	1	5	0	0	2	0	15	0	0	3	0	16	26	158	0	64	1	429	6	283	155	2	1	14	53	0	0	8	0	0	267	0	5	9	0	2	0	2923	1	1116	0	9	0	1	0	0	1	2	0	7	1	9	10	0	3	14	1	1	150	438	33	1	0	17	0	0	19	1	0	44	1	7	2	1	5	0	0	0	2	0	0	28	5	0	267	0	46	1	564	16	1
MiFish_00014	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
MiFish_00015	0	0	1	18	0	2	0	0	0	3	0	2039	0	0	6	0	0	0	13909	0	0	0	1	0	2	0	0	4	0	0	1	15997	0	0	1	0	890	0	0	0	5	0	0	0	4	0	0	1	0	6	0	0	0	2	0	1	2	0	7	1	1	0	19227	0	0	2615	3	1	3	0	0	3	0	0	1	2	0	0	0	0	7	0	1	0	2	0	0	0	6788	54	2	0	3	3	0	0	0	3	1	11	0	1	0	0	1	24	6	0	0	0	0	1	16569	10	1	0	0	0	1	1	8	0	0	0	0	0	5	0	3	0	35	5	1	29883	0	2	0	0	3	8	0	6	0	1	1	7	18947	0	32178	0	1	2	2	0	5	0	0	2
MiFish_00016	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0	0	0	0	0
MiFish_00017	1	0	1	0	0	114	98	24	8	1	0	2	0	6	34	46	0	1	0	0	0	7	3	0	0	0	0	1	0	1	4	1	0	0	0	250	0	25	0	5	1	0	0	0	0	0	0	0	4	0	5	3	9	13	0	3	0	5	0	0	0	630	8	0	0	196	0	0	0	7	0	0	0	25	1	0	0	0	10	0	66	18	29	0	1364	4	0	0	0	1	17	0	0	5	0	0	0	3	0	0	0	0	651	0	11391	4	1287	0	1	0	0	1	0	2	0	1	0	0	3	0	0	0	2	5	0	12	210	102	0	0	7	0	0	4	0	7	353	3	6	2	0	3	0	0	1	5	0	1	6	4	0	0	0	42	2	8	2	3
MiFish_00018	0	5	1	0	0	1066	46	235	10	9	0	3	0	1	29	1	0	0	0	0	1	58	10	0	0	1	0	2	0	0	15	0	1	0	0	17	14	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	6	0	0	0	0	0	1320	1	0	0	180	0	0	0	1	0	0	0	1	0	7	1	4	39	0	1	2	138	1	2734	14	6	2	0	6	0	0	0	0	0	0	0	22	0	1	1	0	6318	0	251	9	1640	0	2	0	1	0	0	0	2	1	0	0	8	0	0	0	3	0	0	48	447	76	2	1	22	0	0	37	0	0	8	0	5	1	2	6	0	0	0	1	0	1	16	10	0	0	0	39	3	32	13	0
MiFish_00019	1	0	1	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	128	208	92	165	0	0	0	0	0	343	0	0	321	0	0	0	0	0	0	51	0	0	0	0	182	0	0	0	0	0	0	0	0	0	169	0	88	0	1	0	1	52	85	0	196	0	0	0	48	0	0	0	60	113	167	221	0	0	297	44	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	131	21	29	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	5	120	28	0	445	0	4	2	0	0	0
MiFish_00020	0	0	1	90	176	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	69	0	0	0	0	0	85	12	0	0	35	17	0	0	0	0	67	0	0	0	1	0	0	58	0	0	0	22	0	0	0	0	0	31	1	0	3	0	0	54	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	999	47	0	2	24	0	0	0	0	0	0	33	0	0	0	0	73	0	0	36	56	84	15	111	26	59	0	49	1	86	0	0	0	0	0	0	0	0	0	0	77	100	75	90	60	59	62	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MiFish_00021	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	32	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
MiFish_00022	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	21	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	12187
MiFish_00023	0	0	0	31	33	0	1	1	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	11	0	0	0	0	0	21	1	0	0	15	0	0	0	0	0	20	0	0	0	1	0	0	12	0	0	0	3	0	0	0	0	0	8	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	231	5	0	1	7	0	0	0	0	0	0	9	0	0	0	0	11	0	0	6	10	22	3	22	5	9	0	10	0	23	0	0	0	0	0	0	0	0	0	0	19	24	18	12	11	8	8	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MiFish_00024	0	0	0	21	33	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	27	0	1	0	10	0	0	0	0	0	17	6	0	0	9	4	0	0	0	0	11	0	0	0	0	0	0	8	0	0	0	5	0	0	0	0	0	7	0	0	0	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	230	3	0	0	4	1	0	0	0	0	0	2	0	0	0	0	8	0	0	10	13	20	4	16	5	9	0	4	0	19	0	0	0	0	0	0	0	0	0	0	15	18	13	10	12	12	10	25	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
MiFish_00025	0	0	0	46	80	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	27	0	0	0	0	0	56	7	0	0	18	6	0	0	0	0	43	0	0	0	0	0	0	31	0	0	0	10	0	0	0	0	0	24	1	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	99	385	8	0	2	18	0	0	0	0	0	0	5	0	1	0	0	24	1	0	9	14	27	3	27	7	9	0	7	0	23	0	0	0	0	0	0	0	0	0	0	27	30	23	30	26	27	17	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MiFish_00026	0	0	0	22	43	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	45	0	1	0	14	0	0	0	0	0	15	2	0	0	7	4	0	0	0	0	17	0	0	0	0	0	0	9	0	0	0	6	0	0	0	0	0	7	0	0	2	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	189	5	0	0	6	0	0	0	0	0	0	10	0	0	0	0	6	0	0	3	12	11	1	19	4	9	0	3	0	18	0	0	0	0	0	0	0	0	0	0	16	19	4	19	9	15	12	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MiFish_00027	0	0	0	13	15	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	10	0	0	0	0	0	10	0	0	0	1	2	0	0	0	0	8	0	0	1	0	0	0	9	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	102	4	0	0	3	1	0	0	0	0	0	3	0	0	0	0	5	0	0	4	7	4	1	7	3	6	0	7	0	8	0	0	0	0	0	0	0	0	0	0	16	9	5	9	8	8	7	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MiFish_00028	0	0	0	11	20	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	1	1	0	0	0	0	0	13	0	0	0	7	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	90	3	0	1	4	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	7	2	1	6	0	2	0	3	0	6	0	0	0	0	0	0	0	0	0	0	6	6	4	8	2	5	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MiFish_00029	0	0	0	28	36	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	9	1	0	0	0	0	23	1	0	0	5	0	0	0	0	0	21	0	0	0	0	0	0	15	0	0	0	6	0	0	0	0	0	4	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	239	11	0	1	11	0	0	0	0	0	0	6	0	0	0	0	19	0	0	7	16	16	4	23	2	11	0	7	0	22	1	0	0	0	0	0	0	0	0	0	25	30	19	25	14	11	15	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MiFish_00030	0	0	0	3	9	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	42	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	0	0	2	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
